"","Player","GP","G","A","P.2","whkye","season","year","type","age","P","league","GP_m1","G_m1","A_m1","P_m1","whkye_m1","league_m1"
"844","Lexi Bender","39","6","23","29",0.35,"2014-15",2014,"whkye",21,"D","other",41,6,27,33,0.34,"2015-16"
"845","Lexi Bender","37","4","13","17",0.23671916434,"2013-14",2013,"whkye",20,"D","other",39,6,23,29,0.35,"2014-15"
"846","Lexi Bender","37","3","13","16",0.23772371378,"2012-13",2012,"whkye",19,"D","other",37,4,13,17,0.23671916434,"2013-14"
"847","Elizabeth Parker","4","0","0","0",0,"2017-18",2017,"whkye",26,"D","nwhl",NA,NA,NA,NA,NA,NA
"848","Elizabeth Parker","30","5","9","14",0.24186523313,"2013-14",2013,"whkye",22,"D","other",4,0,0,0,0,"2017-18"
"849","Elizabeth Parker","34","0","2","2",0.03317075076,"2012-13",2012,"whkye",21,"D","other",30,5,9,14,0.24186523313,"2013-14"
"850","Elizabeth Parker","30","6","3","9",0.1914131649,"2011-12",2011,"whkye",20,"D","other",34,0,2,2,0.03317075076,"2012-13"
"851","Elizabeth Parker","31","3","3","6",0.07828855266,"2010-11",2010,"whkye",19,"D","other",30,6,3,9,0.1914131649,"2011-12"
"852","Mallory Souliotis","14","3","3","6",0.22,"2018-19",2018,"whkye",23,"D|F","nwhl",NA,NA,NA,NA,NA,NA
"853","Mallory Souliotis","33","4","20","24",0.16,"2017-18",2017,"whkye",22,"D|F","nwhl",14,3,3,6,0.22,"2018-19"
"854","Mallory Souliotis","31","3","9","12",0.17,"2016-17",2016,"whkye",21,"D|F","other",33,4,20,24,0.16,"2017-18"
"855","Mallory Souliotis","29","4","21","25",0.37,"2015-16",2015,"whkye",20,"D|F","other",31,3,9,12,0.17,"2016-17"
"856","Mallory Souliotis","26","1","8","9",0.16,"2014-15",2014,"whkye",19,"D|F","other",29,4,21,25,0.37,"2015-16"
"857","Hillary Crowe","5","0","0","0",0,"2017-18",2017,"whkye",25,"F","nwhl",NA,NA,NA,NA,NA,NA
"858","Hillary Crowe","14","12","12","24",0.24,"2016-17",2016,"whkye",24,"F","other",5,0,0,0,0,"2017-18"
"859","Hillary Crowe","20","22","15","37",0.24,"2015-16",2015,"whkye",23,"F","other",14,12,12,24,0.24,"2016-17"
"860","Hillary Crowe","31","10","7","17",0.26,"2014-15",2014,"whkye",22,"F","other",20,22,15,37,0.24,"2015-16"
"861","Hillary Crowe","30","16","14","30",0.514606879,"2013-14",2013,"whkye",21,"F","other",31,10,7,17,0.26,"2014-15"
"862","Hillary Crowe","34","8","11","19",0.30959367376,"2012-13",2012,"whkye",20,"F","other",30,16,14,30,0.514606879,"2013-14"
"863","Hillary Crowe","32","6","14","20",0.40196764629,"2011-12",2011,"whkye",19,"F","other",34,8,11,19,0.30959367376,"2012-13"
"864","Julianna Iafallo","16","6","7","13",0.41,"2018-19",2018,"whkye",22,"F","nwhl",NA,NA,NA,NA,NA,NA
"865","Julianna Iafallo","39","12","15","27",0.29,"2017-18",2017,"whkye",21,"F","other",16,6,7,13,0.41,"2018-19"
"866","Julianna Iafallo","37","7","12","19",0.23,"2016-17",2016,"whkye",20,"F","other",39,12,15,27,0.29,"2017-18"
"867","Julianna Iafallo","36","2","12","14",0.17,"2015-16",2015,"whkye",19,"F","other",37,7,12,19,0.23,"2016-17"
"868","Julianna Iafallo","34","1","3","4",0.06,"2014-15",2014,"whkye",18,"F","other",36,2,12,14,0.17,"2015-16"
"869","Jonna Curtis","16","8","11","19",0.61,"2018-19",2018,"whkye",24,"F","nwhl",NA,NA,NA,NA,NA,NA
"870","Jonna Curtis","35","21","21","42",0.53,"2016-17",2016,"whkye",22,"F","other",16,8,11,19,0.61,"2018-19"
"871","Jonna Curtis","36","16","17","33",0.39,"2015-16",2015,"whkye",21,"F","other",35,21,21,42,0.53,"2016-17"
"872","Jonna Curtis","36","13","9","22",0.29,"2014-15",2014,"whkye",20,"F","other",36,16,17,33,0.39,"2015-16"
"873","Jonna Curtis","10","2","1","3",0.1543820637,"2013-14",2013,"whkye",19,"F","other",36,13,9,22,0.29,"2014-15"
"874","Jonna Curtis","5","2","4","6",0.6634150152,"2012-13",2012,"whkye",18,"F","other",10,2,1,3,0.1543820637,"2013-14"
"875","Toni Ann Miano","15","3","2","5",0.17,"2018-19",2018,"whkye",22,"D","nwhl",NA,NA,NA,NA,NA,NA
"876","Toni Ann Miano","38","18","25","43",0.47,"2017-18",2017,"whkye",21,"D","other",15,3,2,5,0.17,"2018-19"
"877","Toni Ann Miano","17","6","11","17",0.44,"2016-17",2016,"whkye",20,"D","other",38,18,25,43,0.47,"2017-18"
"878","Toni Ann Miano","41","8","18","26",0.27,"2015-16",2015,"whkye",19,"D","other",17,6,11,17,0.44,"2016-17"
"879","Toni Ann Miano","39","4","12","16",0.19,"2014-15",2014,"whkye",18,"D","other",41,8,18,26,0.27,"2015-16"
"880","Toni Ann Miano","28","6","29","35",0.15766902625,"2013-14",2013,"whkye",17,"D","other",39,4,12,16,0.19,"2014-15"
"881","Toni Ann Miano","31","13","34","47",0.21143089648,"2012-13",2012,"whkye",16,"D","other",28,6,29,35,0.15766902625,"2013-14"
"882","Toni Ann Miano","30","1","11","12",0.0617816436,"2011-12",2011,"whkye",15,"D","other",31,13,34,47,0.21143089648,"2012-13"
"883","McKenna Brand","16","6","11","17",0.54,"2018-19",2018,"whkye",22,"F","nwhl",NA,NA,NA,NA,NA,NA
"884","McKenna Brand","39","15","19","34",0.36,"2017-18",2017,"whkye",21,"F","other",16,6,11,17,0.54,"2018-19"
"885","McKenna Brand","37","23","15","38",0.46,"2016-17",2016,"whkye",20,"F","other",39,15,19,34,0.36,"2017-18"
"886","McKenna Brand","38","10","11","21",0.24,"2015-16",2015,"whkye",19,"F","other",37,23,15,38,0.46,"2016-17"
"887","McKenna Brand","36","8","10","18",0.23,"2014-15",2014,"whkye",18,"F","other",38,10,11,21,0.24,"2015-16"
"888","McKenna Brand","31","21","25","46",0.18668012708,"2013-14",2013,"whkye",17,"F","other",36,8,10,18,0.23,"2014-15"
"889","McKenna Brand","31","6","27","33",0.14744523044,"2012-13",2012,"whkye",16,"F","other",31,21,25,46,0.18668012708,"2013-14"
"890","Savannah Harmon","16","3","4","7",0.22,"2018-19",2018,"whkye",22,"D","nwhl",NA,NA,NA,NA,NA,NA
"891","Savannah Harmon","41","8","26","34",0.35,"2017-18",2017,"whkye",21,"D","other",16,3,4,7,0.22,"2018-19"
"892","Savannah Harmon","41","11","25","36",0.39,"2016-17",2016,"whkye",20,"D","other",41,8,26,34,0.35,"2017-18"
"893","Savannah Harmon","40","4","18","22",0.24,"2015-16",2015,"whkye",19,"D","other",41,11,25,36,0.39,"2016-17"
"894","Savannah Harmon","38","7","14","21",0.26,"2014-15",2014,"whkye",18,"D","other",40,4,18,22,0.24,"2015-16"
"895","Savannah Harmon","31","10","21","31",0.126135221,"2013-14",2013,"whkye",17,"D","other",38,7,14,21,0.26,"2014-15"
"896","Savannah Harmon","30","11","32","43",0.19891196182,"2012-13",2012,"whkye",16,"D","other",31,10,21,31,0.126135221,"2013-14"
"897","Audra Richards","16","8","0","8",0.26,"2018-19",2018,"whkye",24,"F","nwhl",NA,NA,NA,NA,NA,NA
"898","Audra Richards","35","14","8","22",0.27,"2015-16",2015,"whkye",21,"F","other",16,8,0,8,0.26,"2018-19"
"899","Audra Richards","33","9","8","17",0.24,"2014-15",2014,"whkye",20,"F","other",35,14,8,22,0.27,"2015-16"
"900","Audra Richards","31","15","3","18",0.29847198982,"2013-14",2013,"whkye",19,"F","other",33,9,8,17,0.24,"2014-15"
"901","Audra Richards","33","7","6","13",0.21560987994,"2012-13",2012,"whkye",18,"F","other",31,15,3,18,0.29847198982,"2013-14"
"902","Audra Richards","30","16","5","21",0.1081178763,"2011-12",2011,"whkye",17,"F","other",33,7,6,13,0.21560987994,"2012-13"
"903","Audra Richards","26","3","3","6",0.03602777661,"2010-11",2010,"whkye",16,"F","other",30,16,5,21,0.1081178763,"2011-12"
"904","Katie McGovern","16","6","5","11",0.35,"2018-19",2018,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"905","Katie McGovern","37","17","17","34",0.41,"2016-17",2016,"whkye",21,"F","other",16,6,5,11,0.35,"2018-19"
"906","Katie McGovern","37","6","9","15",0.18,"2015-16",2015,"whkye",20,"F","other",37,17,17,34,0.41,"2016-17"
"907","Katie McGovern","31","1","0","1",0.01,"2014-15",2014,"whkye",19,"F","other",37,6,9,15,0.18,"2015-16"
"908","Katie McGovern","36","1","0","1",0.01543820637,"2013-14",2013,"whkye",18,"F","other",31,1,0,1,0.01,"2014-15"
"909","Katie McGovern","22","17","9","26",0.18225584862,"2011-12",2011,"whkye",16,"F","other",36,1,0,1,0.01543820637,"2013-14"
"910","Katie McGovern","25","25","14","39",0.24436231092,"2010-11",2010,"whkye",15,"F","other",22,17,9,26,0.18225584862,"2011-12"
"911","Amy Menke","15","4","6","10",0.34,"2018-19",2018,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"912","Amy Menke","5","4","2","6",0.47,"2017-18",2017,"whkye",22,"F","other",15,4,6,10,0.34,"2018-19"
"913","Amy Menke","38","11","16","27",0.31,"2016-17",2016,"whkye",21,"F","other",5,4,2,6,0.47,"2017-18"
"914","Amy Menke","35","19","21","40",0.49,"2015-16",2015,"whkye",20,"F","other",38,11,16,27,0.31,"2016-17"
"915","Amy Menke","37","15","13","28",0.36,"2014-15",2014,"whkye",19,"F","other",35,19,21,40,0.49,"2015-16"
"916","Amy Menke","36","5","8","13",0.18525847644,"2013-14",2013,"whkye",18,"F","other",37,15,13,28,0.36,"2014-15"
"917","Michelle Löwenhielm","35","3","9","12",0.16,"2014-15",2014,"whkye",NA,"F","other",NA,NA,NA,NA,NA,NA
"918","Michelle Löwenhielm","37","3","5","8",0.09,"2015-16",2015,"whkye",NA,"F","other",35,3,9,12,0.16,"2014-15"
"919","Michelle Löwenhielm","37","2","9","11",0.13,"2016-17",2016,"whkye",NA,"F","other",37,3,5,8,0.09,"2015-16"
"920","Lee Stecklein","16","1","8","9",0.29,"2018-19",2018,"whkye",24,"D","nwhl",NA,NA,NA,NA,NA,NA
"921","Lee Stecklein","36","4","20","24",0.3,"2016-17",2016,"whkye",22,"D","other",16,1,8,9,0.29,"2018-19"
"922","Lee Stecklein","40","8","22","30",0.32,"2015-16",2015,"whkye",21,"D","other",36,4,20,24,0.3,"2016-17"
"923","Lee Stecklein","40","5","22","27",0.32,"2014-15",2014,"whkye",20,"D","other",40,8,22,30,0.32,"2015-16"
"924","Lee Stecklein","41","3","9","12",0.16032529534,"2012-13",2012,"whkye",18,"D","other",40,5,22,27,0.32,"2014-15"
"925","Dani Cameranesi","14","4","11","15",0.55,"2018-19",2018,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"926","Dani Cameranesi","22","18","14","32",0.64,"2016-17",2016,"whkye",21,"F","other",14,4,11,15,0.55,"2018-19"
"927","Dani Cameranesi","40","33","35","68",0.73,"2015-16",2015,"whkye",20,"F","other",22,18,14,32,0.64,"2016-17"
"928","Dani Cameranesi","40","23","42","65",0.76,"2014-15",2014,"whkye",19,"F","other",40,33,35,68,0.73,"2015-16"
"929","Dani Cameranesi","41","19","17","36",0.45285405352,"2013-14",2013,"whkye",18,"F","other",40,23,42,65,0.76,"2014-15"
"930","Lauren Kelly","16","1","2","3",0.1,"2018-19",2018,"whkye",22,"D","nwhl",NA,NA,NA,NA,NA,NA
"931","Lauren Kelly","33","12","9","21",0.27,"2017-18",2017,"whkye",21,"D","other",16,1,2,3,0.1,"2018-19"
"932","Lauren Kelly","37","2","8","10",0.12,"2016-17",2016,"whkye",20,"D","other",33,12,9,21,0.27,"2017-18"
"933","Lauren Kelly","36","4","16","20",0.24,"2015-16",2015,"whkye",19,"D","other",37,2,8,10,0.12,"2016-17"
"934","Lauren Kelly","34","7","6","13",0.18,"2014-15",2014,"whkye",18,"D","other",36,4,16,20,0.24,"2015-16"
"935","Lauren Kelly","26","2","1","3",0.06175282548,"2013-14",2013,"whkye",17,"D","other",34,7,6,13,0.18,"2014-15"
"936","Lauren Kelly","22","0","3","3",0.07739841844,"2012-13",2012,"whkye",16,"D","other",26,2,1,3,0.06175282548,"2013-14"
"937","Lauren Kelly","29","0","4","4",0.08932614362,"2011-12",2011,"whkye",15,"D","other",22,0,3,3,0.07739841844,"2012-13"
"938","Lauren Kelly","24","1","6","7",0.11949305406,"2010-11",2010,"whkye",14,"D","other",29,0,4,4,0.08932614362,"2011-12"
"939","Lauren Kelly","27","2","8","10",0.07735324525,"2009-10",2009,"whkye",13,"D","other",24,1,6,7,0.11949305406,"2010-11"
"940","Kendall Coyne Schofield","13","7","7","14",0.55,"2018-19",2018,"whkye",26,"F","nwhl",NA,NA,NA,NA,NA,NA
"941","Kendall Coyne Schofield","37","50","34","84",0.97,"2015-16",2015,"whkye",23,"F","other",13,7,7,14,0.55,"2018-19"
"942","Kendall Coyne Schofield","31","28","24","52",0.79,"2014-15",2014,"whkye",22,"F","other",37,50,34,84,0.97,"2015-16"
"943","Kendall Coyne Schofield","34","37","31","68",1.105691692,"2012-13",2012,"whkye",20,"F","other",31,28,24,52,0.79,"2014-15"
"944","Kendall Coyne Schofield","31","26","19","45",0.92516363035,"2011-12",2011,"whkye",19,"F","other",34,37,31,68,1.105691692,"2012-13"
"945","Denisa Krizova","16","6","8","14",0.45,"2018-19",2018,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"946","Denisa Krizova","39","11","19","30",0.32,"2017-18",2017,"whkye",22,"F","other",16,6,8,14,0.45,"2018-19"
"947","Denisa Krizova","34","18","27","45",0.58,"2016-17",2016,"whkye",21,"F","other",39,11,19,30,0.32,"2017-18"
"948","Denisa Krizova","37","20","39","59",0.68,"2015-16",2015,"whkye",20,"F","other",34,18,27,45,0.58,"2016-17"
"949","Denisa Krizova","33","13","22","35",0.5,"2014-15",2014,"whkye",19,"F","other",37,20,39,59,0.68,"2015-16"
"950","Denisa Krizova","25","23","22","45",0.2270433978,"2013-14",2013,"whkye",18,"F","other",33,13,22,35,0.5,"2014-15"
"951","Denisa Krizova","19","14","23","37",0.2712435843,"2012-13",2012,"whkye",17,"F","other",25,23,22,45,0.2270433978,"2013-14"
"952","Denisa Krizova","30","16","19","35",0.18071130753,"2011-12",2011,"whkye",16,"F","other",19,14,23,37,0.2712435843,"2012-13"
"953","Kim Tiberi","11","0","1","1",0.05,"2018-19",2018,"whkye",22,"D","nwhl",NA,NA,NA,NA,NA,NA
"954","Annika Zalewski","16","3","9","12",0.38,"2018-19",2018,"whkye",22,"F","nwhl",NA,NA,NA,NA,NA,NA
"955","Annika Zalewski","41","8","15","23",0.23,"2017-18",2017,"whkye",21,"F","other",16,3,9,12,0.38,"2018-19"
"956","Annika Zalewski","36","11","13","24",0.3,"2016-17",2016,"whkye",20,"F","other",41,8,15,23,0.23,"2017-18"
"957","Annika Zalewski","35","16","11","27",0.33,"2015-16",2015,"whkye",19,"F","other",36,11,13,24,0.3,"2016-17"
"958","Annika Zalewski","19","3","7","10",0.25,"2014-15",2014,"whkye",18,"F","other",35,16,11,27,0.33,"2015-16"
"959","Chelsea Ziadie","16","1","3","4",0.13,"2018-19",2018,"whkye",22,"D","nwhl",NA,NA,NA,NA,NA,NA
"960","Chelsea Ziadie","31","3","5","8",0.11,"2017-18",2017,"whkye",21,"D","other",16,1,3,4,0.13,"2018-19"
"961","Chelsea Ziadie","29","3","1","4",0.06,"2016-17",2016,"whkye",20,"D","other",31,3,5,8,0.11,"2017-18"
"962","Chelsea Ziadie","31","1","2","3",0.04,"2015-16",2015,"whkye",19,"D","other",29,3,1,4,0.06,"2016-17"
"963","Chelsea Ziadie","11","0","1","1",0.04,"2014-15",2014,"whkye",18,"D","other",31,1,2,3,0.04,"2015-16"
"964","Hannah Brandt","16","5","6","11",0.35,"2018-19",2018,"whkye",24,"F","nwhl",NA,NA,NA,NA,NA,NA
"965","Hannah Brandt","36","25","39","64",0.76,"2015-16",2015,"whkye",21,"F","other",16,5,6,11,0.35,"2018-19"
"966","Hannah Brandt","40","34","40","74",0.87,"2014-15",2014,"whkye",20,"F","other",36,25,39,64,0.76,"2015-16"
"967","Hannah Brandt","41","23","42","65",0.81822493761,"2013-14",2013,"whkye",19,"F","other",40,34,40,74,0.87,"2014-15"
"968","Hannah Brandt","41","33","49","82",1.105691692,"2012-13",2012,"whkye",18,"F","other",41,23,42,65,0.81822493761,"2013-14"
"969","Amy Schlagel","12","2","2","4",0.17,"2018-19",2018,"whkye",22,"F","nwhl",NA,NA,NA,NA,NA,NA
"970","Amy Schlagel","31","11","4","15",0.2,"2017-18",2017,"whkye",21,"F","other",12,2,2,4,0.17,"2018-19"
"971","Amy Schlagel","35","13","10","23",0.29,"2016-17",2016,"whkye",20,"F","other",31,11,4,15,0.2,"2017-18"
"972","Amy Schlagel","36","9","12","21",0.25,"2015-16",2015,"whkye",19,"F","other",35,13,10,23,0.29,"2016-17"
"973","Amy Schlagel","36","3","7","10",0.13,"2014-15",2014,"whkye",18,"F","other",36,9,12,21,0.25,"2015-16"
"974","Nina Rodgers","15","2","2","4",0.14,"2018-19",2018,"whkye",22,"F","nwhl",NA,NA,NA,NA,NA,NA
"975","Nina Rodgers","28","6","4","10",0.15,"2017-18",2017,"whkye",21,"F","other",15,2,2,4,0.14,"2018-19"
"976","Nina Rodgers","37","11","20","31",0.37,"2016-17",2016,"whkye",20,"F","other",28,6,4,10,0.15,"2017-18"
"977","Nina Rodgers","40","5","4","9",0.1,"2015-16",2015,"whkye",19,"F","other",37,11,20,31,0.37,"2016-17"
"978","Nina Rodgers","41","4","2","6",0.07,"2014-15",2014,"whkye",18,"F","other",40,5,4,9,0.1,"2015-16"
"979","Emma Stauber","15","1","4","5",0.17,"2018-19",2018,"whkye",25,"F","nwhl",NA,NA,NA,NA,NA,NA
"980","Emma Stauber","19","6","7","13",0.24,"2015-16",2015,"whkye",22,"F","other",15,1,4,5,0.17,"2018-19"
"981","Emma Stauber","36","1","8","9",0.12,"2014-15",2014,"whkye",21,"F","other",19,6,7,13,0.24,"2015-16"
"982","Emma Stauber","36","1","5","6",0.08748316943,"2013-14",2013,"whkye",20,"F","other",36,1,8,9,0.12,"2014-15"
"983","Emma Stauber","34","1","4","5",0.0829268769,"2012-13",2012,"whkye",19,"F","other",36,1,5,6,0.08748316943,"2013-14"
"984","Emma Stauber","36","0","3","3",0.05104351064,"2011-12",2011,"whkye",18,"F","other",34,1,4,5,0.0829268769,"2012-13"
"985","Kate Schipper","16","5","6","11",0.35,"2018-19",2018,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"986","Kate Schipper","37","13","17","30",0.36,"2016-17",2016,"whkye",21,"F","other",16,5,6,11,0.35,"2018-19"
"987","Kate Schipper","40","14","26","40",0.43,"2015-16",2015,"whkye",20,"F","other",37,13,17,30,0.36,"2016-17"
"988","Kate Schipper","41","7","15","22",0.25,"2014-15",2014,"whkye",19,"F","other",40,14,26,40,0.43,"2015-16"
"989","Kate Schipper","39","7","22","29",0.38080909046,"2013-14",2013,"whkye",18,"F","other",41,7,15,22,0.25,"2014-15"
"990","Kayla Meneghin","10","1","0","1",0.05,"2018-19",2018,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"991","Taylor Marchin","13","0","0","0",0,"2018-19",2018,"whkye",24,"D","nwhl",NA,NA,NA,NA,NA,NA
"992","Taylor Marchin","22","0","9","9",0.24,"2017-18",2017,"whkye",23,"D","other",13,0,0,0,0,"2018-19"
"993","Taylor Marchin","31","7","12","19",0.27,"2016-17",2016,"whkye",22,"D","other",22,0,9,9,0.24,"2017-18"
"994","Taylor Marchin","29","1","5","6",0.09,"2015-16",2015,"whkye",21,"D","other",31,7,12,19,0.27,"2016-17"
"995","Taylor Marchin","31","8","13","21",0.32,"2014-15",2014,"whkye",20,"D","other",29,1,5,6,0.09,"2015-16"
"996","Taylor Marchin","32","5","6","11",0.17496633886,"2013-14",2013,"whkye",19,"D","other",31,8,13,21,0.32,"2014-15"
"997","Allie Thunstrom","16","5","4","9",0.29,"2018-19",2018,"whkye",30,"F","nwhl",NA,NA,NA,NA,NA,NA
"998","Allie Thunstrom","35","22","7","29",0.3792602083,"2009-10",2009,"whkye",21,"F","other",16,5,4,9,0.29,"2018-19"
"999","Sarah Hughson","12","0","0","0",0,"2018-19",2018,"whkye",22,"F","nwhl",NA,NA,NA,NA,NA,NA
"1000","Lauren Barnes","9","2","1","3",0.17,"2018-19",2018,"whkye",26,"F","nwhl",NA,NA,NA,NA,NA,NA
"1001","Lauren Barnes","24","33","32","65",0.45,"2014-15",2014,"whkye",22,"F","other",9,2,1,3,0.17,"2018-19"
"1002","Lauren Barnes","37","5","17","22",0.30361805861,"2013-14",2013,"whkye",21,"F","other",24,33,32,65,0.45,"2014-15"
"1003","Lauren Barnes","35","3","11","14",0.2211383384,"2012-13",2012,"whkye",20,"F","other",37,5,17,22,0.30361805861,"2013-14"
"1004","Lauren Barnes","36","4","14","18",0.3190219415,"2011-12",2011,"whkye",19,"F","other",35,3,11,14,0.2211383384,"2012-13"
"1005","Lauren Barnes","31","0","8","8",0.10713170364,"2010-11",2010,"whkye",18,"F","other",36,4,14,18,0.3190219415,"2011-12"
"1006","Haylea Schmid","6","0","0","0",0,"2018-19",2018,"whkye",27,"F","nwhl",NA,NA,NA,NA,NA,NA
"1007","Haylea Schmid","24","8","11","19",0.13992156258,"2013-14",2013,"whkye",22,"F","other",6,0,0,0,0,"2018-19"
"1008","Haylea Schmid","36","9","12","21",0.32065059068,"2012-13",2012,"whkye",21,"F","other",24,8,11,19,0.13992156258,"2013-14"
"1009","Haylea Schmid","38","2","4","6",0.10208702128,"2011-12",2011,"whkye",20,"F","other",36,9,12,21,0.32065059068,"2012-13"
"1010","Haylea Schmid","34","2","3","5",0.0618067521,"2010-11",2010,"whkye",19,"F","other",38,2,4,6,0.10208702128,"2011-12"
"1011","Haylea Schmid","31","0","1","1",0.0137082003,"2009-10",2009,"whkye",18,"F","other",34,2,3,5,0.0618067521,"2010-11"
"1012","Fiona McKenna","8","0","0","0",0,"2018-19",2018,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"1013","Fiona McKenna","31","0","5","5",0.07,"2016-17",2016,"whkye",21,"F","other",8,0,0,0,0,"2018-19"
"1014","Fiona McKenna","33","4","6","10",0.13,"2015-16",2015,"whkye",20,"F","other",31,0,5,5,0.07,"2016-17"
"1015","Fiona McKenna","31","3","4","7",0.11,"2014-15",2014,"whkye",19,"F","other",33,4,6,10,0.13,"2015-16"
"1016","Fiona McKenna","21","4","2","6",0.14923599491,"2013-14",2013,"whkye",18,"F","other",31,3,4,7,0.11,"2014-15"
"1017","Lexi Slattery","7","0","0","0",0,"2018-19",2018,"whkye",24,"D","nwhl",NA,NA,NA,NA,NA,NA
"1018","Lexi Slattery","21","1","9","10",0.19,"2016-17",2016,"whkye",22,"D","other",7,0,0,0,0,"2018-19"
"1019","Lexi Slattery","35","5","10","15",0.18,"2015-16",2015,"whkye",21,"D","other",21,1,9,10,0.19,"2016-17"
"1020","Lexi Slattery","36","4","4","8",0.1,"2014-15",2014,"whkye",20,"D","other",35,5,10,15,0.18,"2015-16"
"1021","Lexi Slattery","18","1","1","2",0.05660675669,"2013-14",2013,"whkye",19,"D","other",36,4,4,8,0.1,"2014-15"
"1022","Lexi Slattery","36","1","18","19",0.29300829838,"2012-13",2012,"whkye",18,"D","other",18,1,1,2,0.05660675669,"2013-14"
"1023","Brooke White-Lancette","2","0","1","1",0.26,"2018-19",2018,"whkye",39,"F","nwhl",NA,NA,NA,NA,NA,NA
"1024","Melissa Sheeran","3","0","0","0",0,"2018-19",2018,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"1025","Tess Adams","1","0","0","0",0,"2018-19",2018,"whkye",NA,"F","nwhl",NA,NA,NA,NA,NA,NA
"1026","Alexa Aramburu","11","0","3","3",0.14,"2018-19",2018,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"1027","Alexa Aramburu","28","0","0","0",0,"2017-18",2017,"whkye",22,"F","other",11,0,3,3,0.14,"2018-19"
"1028","Vanessa Gagnon","3","0","0","0",0,"2018-19",2018,"whkye",27,"F","nwhl",NA,NA,NA,NA,NA,NA
"1029","Vanessa Gagnon","36","18","15","33",0.47343832868,"2013-14",2013,"whkye",22,"F","other",3,0,0,0,0,"2018-19"
"1030","Vanessa Gagnon","38","10","11","21",0.3040652153,"2012-13",2012,"whkye",21,"F","other",36,18,15,33,0.47343832868,"2013-14"
"1031","Vanessa Gagnon","37","4","8","12",0.20417404256,"2011-12",2011,"whkye",20,"F","other",38,10,11,21,0.3040652153,"2012-13"
"1032","Vanessa Gagnon","37","1","2","3",0.03296360112,"2010-11",2010,"whkye",19,"F","other",37,4,8,12,0.20417404256,"2011-12"
"1033","Kalli Funk","6","1","1","2",0.17,"2018-19",2018,"whkye",25,"F","nwhl",NA,NA,NA,NA,NA,NA
"1034","Kalli Funk","12","11","3","14",0.07,"2015-16",2015,"whkye",22,"F","other",6,1,1,2,0.17,"2018-19"
"1035","Kalli Funk","32","0","1","1",0.01,"2014-15",2014,"whkye",21,"F","other",12,11,3,14,0.07,"2015-16"
"1036","Kalli Funk","29","1","1","2",0.03602248153,"2013-14",2013,"whkye",20,"F","other",32,0,1,1,0.01,"2014-15"
"1037","Kalli Funk","29","2","2","4",0.07739841844,"2012-13",2012,"whkye",19,"F","other",29,1,1,2,0.03602248153,"2013-14"
"1038","Kalli Funk","34","7","5","12",0.22331535905,"2011-12",2011,"whkye",18,"F","other",29,2,2,4,0.07739841844,"2012-13"
"1039","Sadie Lundquist","2","0","0","0",0,"2018-19",2018,"whkye",27,"F","nwhl",NA,NA,NA,NA,NA,NA
"1040","Sadie Lundquist","34","4","12","16",0.25983754762,"2012-13",2012,"whkye",21,"F","other",2,0,0,0,0,"2018-19"
"1041","Sadie Lundquist","37","12","23","35",0.60614168885,"2011-12",2011,"whkye",20,"F","other",34,4,12,16,0.25983754762,"2012-13"
"1042","Sadie Lundquist","35","8","14","22",0.25958835882,"2010-11",2010,"whkye",19,"F","other",37,12,23,35,0.60614168885,"2011-12"
"1043","Sadie Lundquist","38","2","8","10",0.1188044026,"2009-10",2009,"whkye",18,"F","other",35,8,14,22,0.25958835882,"2010-11"
"1044","Lisa Martinson","3","0","1","1",0.17,"2018-19",2018,"whkye",27,"F","nwhl",NA,NA,NA,NA,NA,NA
"1045","Lisa Martinson","24","4","10","14",0.10272722316,"2013-14",2013,"whkye",22,"F","other",3,0,1,1,0.17,"2018-19"
"1046","Lisa Martinson","33","2","1","3",0.04975612614,"2012-13",2012,"whkye",21,"F","other",24,4,10,14,0.10272722316,"2013-14"
"1047","Lisa Martinson","28","0","4","4",0.08932614362,"2011-12",2011,"whkye",20,"F","other",33,2,1,3,0.04975612614,"2012-13"
"1048","Lisa Martinson","35","2","1","3",0.03708405126,"2010-11",2010,"whkye",19,"F","other",28,0,4,4,0.08932614362,"2011-12"
"1049","Lisa Martinson","30","2","4","6",0.091388002,"2009-10",2009,"whkye",18,"F","other",35,2,1,3,0.03708405126,"2010-11"
"1050","Sarah Schwenzfeier","5","0","0","0",0,"2018-19",2018,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"1051","Adelle Murphy","29","4","7","11",0.05285772412,"2012-13",2012,"whkye",NA,"F","other",NA,NA,NA,NA,NA,NA
"1052","Adelle Murphy","2","0","0","0",0,"2018-19",2018,"whkye",NA,"F","nwhl",29,4,7,11,0.05285772412,"2012-13"
